"Submission Time",Date,"Time (When did you take your caffeine?)","Amount of Caffeine/mg","From which SOURCE did you take the caffeine?"
"Nov 21, 2025 @ 8:46 PM",2025-11-21,"10:10 am",150,3
"Nov 17, 2025 @ 8:29 AM",2025-11-17,"08:29 am",80,1
"Nov 16, 2025 @ 8:01 PM",2025-11-16,"07:00 pm",130,2
"Nov 15, 2025 @ 3:11 PM",2025-11-15,"03:10 pm",130,2
"Nov 13, 2025 @ 11:36 AM",2025-11-13,"10:00 am",180,2
"Nov 12, 2025 @ 11:38 AM",2025-11-12,"12:00 am",180,3
"Nov 10, 2025 @ 2:47 PM",2025-11-10,"02:46 pm",130,2
"Nov 10, 2025 @ 11:07 AM",2025-11-10,"08:21 am",130,2
"Nov 9, 2025 @ 5:43 PM",2025-11-09,"07:00 pm",130,2
"Nov 7, 2025 @ 9:28 PM",2025-11-06,"05:00 pm",80,1
"Nov 7, 2025 @ 9:28 PM",2025-11-04,"01:00 pm",80,3
"Nov 7, 2025 @ 9:27 PM",2025-11-03,"12:00 am",80,3
"Nov 7, 2025 @ 9:27 PM",2025-11-01,"02:00 pm",130,1
"Nov 7, 2025 @ 9:26 PM",2025-10-31,"12:00 am",130,1
"Nov 7, 2025 @ 9:26 PM",2025-10-30,"11:00 am",80,3
"Nov 7, 2025 @ 9:25 PM",2025-10-29,"10:00 am",130,1
